outer_loop_array_packed,middle_loop_array_packed,inner_loop_array_packed,outer_loop_tiling_factor,middle_loop_tiling_factor,inner_loop_tiling_factor,objective
True,True,True,50,100,256,1.6131475
True,True,True,50,128,4,8.783967500000001
True,True,True,50,128,8,4.8636515
True,True,True,50,128,16,3.4270275000000003
True,True,True,50,128,20,2.9661410000000004
True,True,True,50,128,32,2.141564
True,True,True,50,128,50,1.966339
True,True,True,50,128,64,1.8610875
True,True,True,50,128,80,1.8281015
True,True,True,50,128,100,1.6747485000000002
True,True,True,50,128,128,1.633445
True,True,True,50,128,256,1.752175
True,True,True,50,2048,4,12.8916665
True,True,True,50,2048,8,6.816974
True,True,True,50,2048,16,4.521756
True,True,True,50,2048,20,3.7766725
True,True,True,50,2048,32,2.8520305
True,True,True,50,2048,50,2.3389495
True,True,True,50,2048,64,2.223107
True,True,True,50,2048,80,2.155408
True,True,True,50,2048,100,2.1084650000000003
True,True,True,50,2048,128,2.0250335
True,True,True,50,2048,256,1.9179255
True,True,True,64,4,4,16.137142
True,True,True,64,4,8,12.7802565
True,True,True,64,4,16,7.079678
True,True,True,64,4,20,4.4003185
True,True,True,64,4,32,3.4750300000000003
True,True,True,64,4,50,3.2550485
True,True,True,64,4,64,2.991046
True,True,True,64,4,80,2.7804580000000003
True,True,True,64,4,100,2.728504
